"persoonuuid";"naam";"wikidata"
"b288cd86-2746-11e3-b14b-3cd92befe4f8";"Lipsius, Justus";"http://www.wikidata.org/entity/Q315871"
"b285aa20-2746-11e3-ac22-3cd92befe4f8";"Scaliger, Josephus Justus";"http://www.wikidata.org/entity/Q315163"
"b285f07a-2746-11e3-9a6e-3cd92befe4f8";"Beverninck, Hieronymus van";"http://www.wikidata.org/entity/Q3138763"
"b28fc6fe-2746-11e3-b249-3cd92befe4f8";"Boerhaave, Herman";"http://www.wikidata.org/entity/Q313093"
"b2856740-2746-11e3-83e2-3cd92befe4f8";"Arminius, J.";"http://www.wikidata.org/entity/Q313070"
"b282a546-2746-11e3-81ef-3cd92befe4f8";"Sitter de, W., Prof. Dr.";"http://www.wikidata.org/entity/Q313059"
"b28bb726-2746-11e3-9ae5-3cd92befe4f8";"Sitter de, Prof. dr. W.";"http://www.wikidata.org/entity/Q313059"
"b288732c-2746-11e3-bb3a-3cd92befe4f8";"Oort, Prof. Dr. J.H.";"http://www.wikidata.org/entity/Q309861"
"b28e75ec-2746-11e3-9f87-3cd92befe4f8";"Oort, J. H.";"http://www.wikidata.org/entity/Q309861"
"b286d972-2746-11e3-a5c5-3cd92befe4f8";"Raphelingius, F.";"http://www.wikidata.org/entity/Q3085667"
"b2867dce-2746-11e3-b76c-3cd92befe4f8";"Acquoy, J.G.R.";"http://www.wikidata.org/entity/Q30240975"
"b28eb4a8-2746-11e3-8faf-3cd92befe4f8";"Noordman –Den Uyl, Saskia";"http://www.wikidata.org/entity/Q2989832"
"b285cfe6-2746-11e3-8c80-3cd92befe4f8";"Suydtbroeck, Neeltje Willemsdochter van";"http://www.wikidata.org/entity/Q29885090"
"b2884c1c-2746-11e3-b61c-3cd92befe4f8";"Beatrix, Koningin";"http://www.wikidata.org/entity/Q29574"
"b287c7a6-2746-11e3-8847-3cd92befe4f8";"Hertzsprung, Ejnar";"http://www.wikidata.org/entity/Q295099"
"b29042f0-2746-11e3-a062-3cd92befe4f8";"Moons, Magdalena";"http://www.wikidata.org/entity/Q2941097"
"b2870424-2746-11e3-a7a4-3cd92befe4f8";"Rosemeier, Alexander Coenraad";"http://www.wikidata.org/entity/Q2933805"
"b287e70e-2746-11e3-b523-3cd92befe4f8";"Blanckaert, Nicolaus";"http://www.wikidata.org/entity/Q29168307"
"b289f4f4-2746-11e3-96b8-3cd92befe4f8";"Kleibrink, Herman";"http://www.wikidata.org/entity/Q28919973"
"b2876d7e-2746-11e3-ad9c-3cd92befe4f8";"Aalst, R. van";"http://www.wikidata.org/entity/Q28861873"
"b28ce39e-2746-11e3-a0f4-3cd92befe4f8";"Schultens, A(lbertus)";"http://www.wikidata.org/entity/Q2831550"
"b28cdafc-2746-11e3-bd06-3cd92befe4f8";"Kinschot, jhr.mr.F.H. van";"http://www.wikidata.org/entity/Q2800952"
"b290842c-2746-11e3-b153-3cd92befe4f8";"Til, Samuel van";"http://www.wikidata.org/entity/Q2799264"
"b28898c0-2746-11e3-8f54-3cd92befe4f8";"Cornet, Jacobus Ludovicus";"http://www.wikidata.org/entity/Q2793027"
"b288ed98-2746-11e3-9626-3cd92befe4f8";"Nat, Theo van der";"http://www.wikidata.org/entity/Q27864010"
"b286e58e-2746-11e3-b5d8-3cd92befe4f8";"Ridder, N. de Mr.";"http://www.wikidata.org/entity/Q27863724"
"b28e86c2-2746-11e3-a15b-3cd92befe4f8";"Drucker, mr. H.L.";"http://www.wikidata.org/entity/Q2780706"
"b28c231e-2746-11e3-9ccd-3cd92befe4f8";"Egeling, Lucas";"http://www.wikidata.org/entity/Q2780011"
"b28976a0-2746-11e3-9506-3cd92befe4f8";"Ligne, Phillipus graaf de";"http://www.wikidata.org/entity/Q2767311"
"b285d89c-2746-11e3-8b04-3cd92befe4f8";"Hahn, Jacob George Hiëronymus";"http://www.wikidata.org/entity/Q27661925"
"b288e32a-2746-11e3-af65-3cd92befe4f8";"Cunaeus, Evert Hendrik";"http://www.wikidata.org/entity/Q27651655"
"b28de5be-2746-11e3-add4-3cd92befe4f8";"Cunaeus, Evert Hendrik Jacob";"http://www.wikidata.org/entity/Q27651655"
"b2911428-2746-11e3-8c60-3cd92befe4f8";"Cunaeus, E.H.J.";"http://www.wikidata.org/entity/Q27651655"
"b286561e-2746-11e3-82a5-3cd92befe4f8";"Muilman, Willem";"http://www.wikidata.org/entity/Q27645875"
"b283d9c0-2746-11e3-b877-3cd92befe4f8";"Sloet van Beele, baron mr. L.A.J.W.";"http://www.wikidata.org/entity/Q2738369"
"b2823ac0-2746-11e3-a9b3-3cd92befe4f8";"Steinbach, Lucia";"http://www.wikidata.org/entity/Q27341877"
"b2827c1a-2746-11e3-bcda-3cd92befe4f8";"Mort, Jacobus le";"http://www.wikidata.org/entity/Q2732806"
"b28750f0-2746-11e3-b09e-3cd92befe4f8";"Water, Koos van de";"http://www.wikidata.org/entity/Q27302290"
"b28294ca-2746-11e3-b058-3cd92befe4f8";"Hakkaert, Fer";"http://www.wikidata.org/entity/Q27278940"
"b283b526-2746-11e3-a2a7-3cd92befe4f8";"Wijkerslooth, Cornelis Ludovicus baron van";"http://www.wikidata.org/entity/Q2690729"
"b28cddcc-2746-11e3-9713-3cd92befe4f8";"Solingen, Cornelis";"http://www.wikidata.org/entity/Q2686047"
"b287d98a-2746-11e3-aa21-3cd92befe4f8";"Nieuwland, N. van";"http://www.wikidata.org/entity/Q2670000"
"b2838362-2746-11e3-94e5-3cd92befe4f8";"Scharp, J.";"http://www.wikidata.org/entity/Q2668499"
"b288b0ee-2746-11e3-9cbb-3cd92befe4f8";"Pallandt, Charlotte van";"http://www.wikidata.org/entity/Q2664419"
"b28c317e-2746-11e3-adc7-3cd92befe4f8";"Wassenaer, O.J.E. van";"http://www.wikidata.org/entity/Q2643774"
"b284b502-2746-11e3-b8ac-3cd92befe4f8";"Aa, Chr.P.E. Robidé van der";"http://www.wikidata.org/entity/Q2605482"
"b2840d0a-2746-11e3-a960-3cd92befe4f8";"Warnaar, Willem";"http://www.wikidata.org/entity/Q2502921"
"b2909778-2746-11e3-9611-3cd92befe4f8";"Suringar, W.F.R.";"http://www.wikidata.org/entity/Q2499954"
